Player,Team,Gms,Rec,Yds,Avg,YPG,Lg,TD,FD,Tar,YAC
Ameer AbdullahA. Abdullah,LV,5,7,23,3.29,4.6,10,0,1,7,51
De'Von AchaneD. Achane,MIA,5,21,186,8.86,37.2,39,1,8,23,207
Davante AdamsD. Adams,LV,3,18,209,11.61,69.7,30,1,10,27,45
Jordan AddisonJ. Addison,MIN,3,9,143,15.89,47.7,29t,1,6,16,3
Nate AdkinsN. Adkins,DEN,5,3,14,4.67,2.8,8,0,0,4,7
Nelson AgholorN. Agholor,BAL,5,6,89,14.83,17.8,56,0,3,12,56
Brandon AiyukB. Aiyuk,SF,6,23,351,15.26,58.5,53,0,18,41,101
Cam AkersC. Akers,HOU,4,4,16,4.00,4.0,8t,1,1,7,11
Jordan AkinsJ. Akins,CLE,5,12,98,8.17,19.6,13,1,5,17,52
Mo Alie-CoxM. Alie-Cox,IND,5,3,59,19.67,11.8,22,1,3,7,18
Braelon AllenB. Allen,NYJ,5,8,72,9.00,14.4,15,1,4,11,72
Davis AllenD. Allen,LA,3,0,0,0.00,0.0,0,0,0,2,0
Keenan AllenK. Allen,CHI,3,10,81,8.10,27.0,19,0,4,20,39
Erick AllE. All,CIN,5,14,92,6.57,18.4,19,0,5,14,62
Tyler AllgeierT. Allgeier,ATL,5,6,45,7.50,9.0,13,0,2,6,47
Robbie ChosenR. Chosen,MIA,2,1,5,5.00,2.5,5,0,0,4,1
Mark AndrewsM. Andrews,BAL,5,10,120,12.00,24.0,27,0,8,14,35
Chatarius AtwellC. Atwell,LA,5,17,281,16.53,56.2,50,0,12,25,49
Calvin AustinC. Austin,PIT,5,8,131,16.38,26.2,55t,1,4,12,63
Tyler BadieT. Badie,DEN,3,3,-2,-0.67,-0.7,2,0,0,3,4
Saquon BarkleyS. Barkley,PHI,4,12,85,7.08,21.2,27,1,5,15,64
AJ BarnerA. Barner,SEA,6,7,66,9.43,11.0,18,1,6,7,43
Rashod BatemanR. Bateman,BAL,5,13,202,15.54,40.4,38,2,10,22,45
John BatesJ. Bates,WAS,5,2,14,7.00,2.8,9,0,0,3,6
Odell Beckham Jr.O. Beckham,MIA,1,0,0,0.00,0.0,0,0,0,1,0
David BellD. Bell,CLE,1,3,27,9.00,27.0,12,0,1,3,8
Daniel BellingerD. Bellinger,NYG,5,2,20,10.00,4.0,17,0,1,2,1
Ronnie BellR. Bell,SF,5,1,12,12.00,2.4,12,0,1,3,-3
Trey BensonT. Benson,ARI,4,2,12,6.00,3.0,7,0,0,2,22
Braxton BerriosB. Berrios,MIA,5,0,0,0.00,0.0,0,0,0,4,0
Cartavious BigsbyC. Bigsby,JAX,5,1,28,28.00,5.6,28,0,1,1,31
Jake BoboJ. Bobo,SEA,6,8,66,8.25,11.0,11,0,4,10,18
Kendrick BourneK. Bourne,NE,1,1,6,6.00,6.0,6,0,0,1,8
Kayshon BoutteK. Boutte,NE,3,4,47,11.75,15.7,21,0,3,5,9
Brock BowersB. Bowers,LV,5,28,313,11.18,62.6,57t,1,15,36,161
Tyler BoydT. Boyd,TEN,4,10,108,10.80,27.0,27,0,6,16,43
Jake BrendelJ. Brendel,SF,6,0,2,0.00,0.3,2,0,0,0,2
Jalen BrooksJ. Brooks,DAL,5,4,62,15.50,12.4,24,0,3,8,24
A.J. BrownA. Brown,PHI,1,5,119,23.80,119.0,67t,1,5,10,65
Chase BrownC. Brown,CIN,5,10,39,3.90,7.8,8,1,2,12,32
Dyami BrownD. Brown,WAS,5,7,94,13.43,18.8,41t,1,4,9,46
Noah BrownN. Brown,WAS,3,9,111,12.33,37.0,34,0,6,10,29
Pharaoh BrownP. Brown,SEA,4,3,19,6.33,4.8,9,0,0,5,11
Harrison BryantH. Bryant,LV,5,2,21,10.50,4.2,14,0,1,3,17
Treylon BurksT. Burks,TEN,4,3,24,8.00,6.0,13,0,2,7,5
Jermaine BurtonJ. Burton,CIN,5,1,47,47.00,9.4,47,0,1,2,7
Michael BurtonM. Burton,DEN,5,4,12,3.00,2.4,5,0,0,4,6
Grant CalcaterraG. Calcaterra,PHI,4,4,56,14.00,14.0,26,0,4,5,21
Parris CampbellP. Campbell,PHI,3,6,30,5.00,10.0,7,1,1,6,9
DeAndre CarterD. Carter,CHI,5,7,60,8.57,12.0,14,0,3,12,31
Ty ChandlerT. Chandler,MIN,5,6,42,7.00,8.4,10,0,2,6,53
Zach CharbonnetZ. Charbonnet,SEA,6,19,149,7.84,24.8,30t,1,2,23,143
Ja'Marr ChaseJ. Chase,CIN,5,29,493,17.00,98.6,70t,5,20,36,233
Jalen CokerJ. Coker,CAR,2,4,68,17.00,34.0,31,0,4,5,31
Keon ColemanK. Coleman,BUF,5,9,175,19.44,35.0,49t,2,6,16,62
Nico CollinsN. Collins,HOU,5,32,567,17.72,113.4,67t,3,27,45,195
Tyler ConklinT. Conklin,NYJ,5,17,181,10.65,36.2,25,0,8,27,93
Chris ConleyC. Conley,SF,5,1,4,4.00,0.8,4,0,0,3,0
James ConnerJ. Conner,ARI,5,8,66,8.25,13.2,22,0,2,10,87
Tanner ConnerT. Conner,MIA,5,3,16,5.33,3.2,11,0,1,4,5
James CookJ. Cook,BUF,5,11,123,11.18,24.6,25,1,6,13,113
Brandin CooksB. Cooks,DAL,4,9,91,10.11,22.8,21t,1,6,19,16
Amari CooperA. Cooper,CLE,5,20,208,10.40,41.6,24t,2,10,47,42
Malachi CorleyM. Corley,NYJ,3,1,4,4.00,1.3,4,0,0,1,5
Blake CorumB. Corum,LA,5,1,8,8.00,1.6,8,0,0,1,14
Britain CoveyB. Covey,PHI,3,7,34,4.86,11.3,11,0,2,7,28
Jamison CrowderJ. Crowder,WAS,2,1,5,5.00,2.5,5,0,0,1,8
Gabriel DavisG. Davis,JAX,5,12,159,13.25,31.8,22,0,7,25,27
Re'Mahn DavisR. Davis,BUF,5,4,18,4.50,3.6,14,0,1,5,29
Josiah DeguaraJ. Deguara,JAX,3,2,10,5.00,3.3,8,0,0,2,10
Nathaniel DellN. Dell,HOU,4,13,137,10.54,34.2,23,0,6,21,51
Emari DemercadoE. Demercado,ARI,5,4,26,6.50,5.2,24,0,1,4,28
Stefon DiggsS. Diggs,HOU,5,31,315,10.16,63.0,28,2,19,41,141
Will DisslyW. Dissly,LAC,4,9,85,9.44,21.2,22,0,5,10,73
J.K. DobbinsJ. Dobbins,LAC,4,10,44,4.40,11.0,14,0,2,11,63
Greg DortchG. Dortch,ARI,5,16,138,8.63,27.6,14,0,7,22,93
Jahan DotsonJ. Dotson,PHI,4,5,25,5.00,6.2,7,0,2,9,24
Romeo DoubsR. Doubs,GB,4,12,169,14.08,42.2,39,0,9,20,27
Demario DouglasD. Douglas,NE,5,18,153,8.50,30.6,22,0,8,24,61
Rico DowdleR. Dowdle,DAL,5,11,101,9.18,20.2,22t,2,4,14,79
Josh DownsJ. Downs,IND,3,20,173,8.65,57.7,25,1,11,26,68
Grant DuBoseG. DuBose,MIA,2,1,13,13.00,6.5,13,0,1,3,0
Greg DulcichG. Dulcich,DEN,4,5,28,5.60,7.0,9,0,0,12,15
Ashton DulinA. Dulin,IND,5,2,67,33.50,13.4,54t,1,2,4,43
Payne DurhamP. Durham,TB,5,1,8,8.00,1.6,8,0,0,1,6
Devin DuvernayD. Duvernay,JAX,5,1,-1,-1.00,-0.2,-1,0,0,1,2
Gus EdwardsG. Edwards,LAC,4,1,2,2.00,0.5,2,0,0,1,4
Austin EkelerA. Ekeler,WAS,4,11,151,13.73,37.8,33,0,7,11,173
Ezekiel ElliottE. Elliott,DAL,5,6,36,6.00,7.2,15,0,2,9,57
Evan EngramE. Engram,JAX,1,1,5,5.00,5.0,5,0,0,4,1
Zach ErtzZ. Ertz,WAS,5,17,160,9.41,32.0,21,0,7,24,31
D'Wayne EskridgeD. Eskridge,MIA,2,1,30,30.00,15.0,30,0,1,1,17
Travis EtienneT. Etienne,JAX,5,16,91,5.69,18.2,14,0,6,22,106
Mike EvansM. Evans,TB,5,23,276,12.00,55.2,24,5,18,36,64
Gerald EverettG. Everett,CHI,5,5,22,4.40,4.4,17,0,1,7,26
Erik EzukanmaE. Ezukanma,MIA,1,0,0,0.00,0.0,0,0,0,2,0
Noah FantN. Fant,SEA,6,20,198,9.90,33.0,16,0,11,24,89
Luke FarrellL. Farrell,JAX,5,5,31,6.20,6.2,11,0,3,7,12
Simi FehokoS. Fehoko,LAC,4,1,17,17.00,4.2,17,0,1,3,7
Jake FergusonJ. Ferguson,DAL,4,22,229,10.41,57.2,27,0,9,30,116
Justin FieldsJ. Fields,PIT,5,0,0,0.00,0.0,0,0,0,0,0
Zay FlowersZ. Flowers,BAL,5,24,269,11.21,53.8,26,1,13,39,121
Jerome FordJ. Ford,CLE,5,20,87,4.35,17.4,24,0,2,23,139
D'Onta ForemanD. Foreman,CLE,5,3,30,10.00,6.0,16,0,1,3,31
Joe FortsonJ. Fortson,KC,1,1,5,5.00,5.0,5,0,1,1,2
Feleipe FranksF. Franks,CAR,5,0,0,0.00,0.0,0,0,0,1,0
Troy FranklinT. Franklin,DEN,4,5,29,5.80,7.2,20,0,1,12,20
Zach FrazierZ. Frazier,PIT,5,0,-2,0.00,-0.4,-2,0,0,0,-2
Pat FreiermuthP. Freiermuth,PIT,5,20,178,8.90,35.6,29,2,10,23,88
Kenny GainwellK. Gainwell,PHI,4,3,22,7.33,5.5,10,0,1,5,19
Myles GaskinM. Gaskin,MIN,5,1,11,11.00,2.2,11,0,0,1,13
Mike GesickiM. Gesicki,CIN,5,17,178,10.47,35.6,37,0,9,21,65
Jahmyr GibbsJ. Gibbs,DET,4,11,76,6.91,19.0,20t,1,4,13,104
Antonio GibsonA. Gibson,NE,5,8,86,10.75,17.2,50,0,3,9,87
Xavier GipsonX. Gipson,NYJ,5,3,22,7.33,4.4,11,0,1,6,20
Chris GodwinC. Godwin,TB,5,32,386,12.06,77.2,41t,3,25,40,225
Dallas GoedertD. Goedert,PHI,4,24,301,12.54,75.2,61,0,8,28,167
Jared GoffJ. Goff,DET,4,1,7,7.00,1.8,7t,1,1,1,2
Tyler GoodsonT. Goodson,IND,4,4,33,8.25,8.2,24,0,1,4,35
Kylen GransonK. Granson,IND,5,2,49,24.50,9.8,40,0,1,4,31
Eric GrayE. Gray,NYG,5,4,59,14.75,11.8,19,0,3,5,74
Noah GrayN. Gray,KC,5,10,119,11.90,23.8,29,0,6,11,62
Breece HallB. Hall,NYJ,5,21,148,7.05,29.6,26t,1,4,28,131
C.J. HamC. Ham,MIN,5,2,11,5.50,2.2,8,0,0,2,6
Mecole HardmanM. Hardman,KC,5,4,33,8.25,6.6,15,0,2,4,44
Marvin HarrisonM. Harrison,ARI,5,17,279,16.41,55.8,60t,4,14,35,40
Najee HarrisN. Harris,PIT,5,12,119,9.92,23.8,32,0,4,17,126
JaMycal HastyJ. Hasty,NE,5,0,0,0.00,0.0,0,0,0,1,0
Malik HeathM. Heath,GB,4,4,26,6.50,6.5,9,0,1,5,5
Derrick HenryD. Henry,BAL,5,6,49,8.17,9.8,23,1,3,8,58
Hunter HenryH. Henry,NE,5,16,180,11.25,36.0,35,0,11,25,72
Khalil HerbertK. Herbert,CHI,5,2,4,2.00,0.8,2,0,0,2,6
Connor HeywardC. Heyward,PIT,5,3,25,8.33,5.0,16t,1,1,5,5
Elijah HigginsE. Higgins,ARI,5,7,55,7.86,11.0,18t,2,4,8,30
Tee HigginsT. Higgins,CIN,3,18,182,10.11,60.7,17,2,13,30,45
Justice HillJ. Hill,BAL,5,17,169,9.94,33.8,19t,1,8,20,177
Julian HillJ. Hill,MIA,5,3,30,10.00,6.0,13,0,2,5,16
Taysom HillT. Hill,NO,3,2,2,1.00,0.7,1,0,0,3,3
Tyreek HillT. Hill,MIA,5,23,286,12.43,57.2,80t,1,12,40,140
Khadarel HodgeK. Hodge,ATL,5,2,67,33.50,13.4,45t,1,2,2,45
Mack HollinsM. Hollins,BUF,5,6,73,12.17,14.6,21,1,5,17,27
Austin HooperA. Hooper,NE,5,7,77,11.00,15.4,19,1,5,14,66
DeAndre HopkinsD. Hopkins,TEN,4,10,121,12.10,30.2,20,1,6,14,7
Chuba HubbardC. Hubbard,CAR,5,17,82,4.82,16.4,20,1,5,18,104
Tanner HudsonT. Hudson,CIN,1,2,18,9.00,18.0,13,0,0,3,10
Lil'Jordan HumphreyL. Humphrey,DEN,5,12,135,11.25,27.0,27,0,5,17,88
Kareem HuntK. Hunt,KC,2,3,31,10.33,15.5,15,0,2,4,33
Hayden HurstH. Hurst,LAC,4,6,59,9.83,14.8,27,0,1,10,17
Xavier HutchinsonX. Hutchinson,HOU,5,3,34,11.33,6.8,19,0,1,6,22
Jalin HyattJ. Hyatt,NYG,5,0,0,0.00,0.0,0,0,0,3,0
Alec IngoldA. Ingold,MIA,5,3,16,5.33,3.2,6,0,0,4,12
Andrei IosivasA. Iosivas,CIN,5,12,153,12.75,30.6,39,3,10,20,13
Mar'Keise IrvingM. Irving,TB,5,8,46,5.75,9.2,9,0,1,10,68
Trenton IrwinT. Irwin,CIN,2,2,11,5.50,5.5,6,0,1,8,4
Josh JacobsJ. Jacobs,GB,5,8,73,9.13,14.6,21,0,2,11,92
Justin JeffersonJ. Jefferson,MIN,5,26,450,17.31,90.0,97t,4,18,43,134
Van JeffersonV. Jefferson,PIT,5,8,62,7.75,12.4,12,0,2,13,29
Jauan JenningsJ. Jennings,SF,6,25,404,16.16,67.3,45,3,18,36,78
Jerry JeudyJ. Jeudy,CLE,5,19,213,11.21,42.6,30,1,11,33,25
Brandon JohnsonB. Johnson,PIT,1,1,9,9.00,9.0,9,0,0,1,4
D'Ernest JohnsonD. Johnson,JAX,5,2,9,4.50,1.8,9,0,0,4,15
Diontae JohnsonD. Johnson,CAR,5,23,262,11.39,52.4,39,2,14,45,79
Jakob JohnsonJ. Johnson,NYG,5,8,85,10.63,17.0,22,0,4,13,47
Juwan JohnsonJ. Johnson,NO,5,9,70,7.78,14.0,16t,1,3,11,25
Kameron JohnsonK. Johnson,TB,4,0,0,0.00,0.0,0,0,0,1,0
Quentin JohnstonQ. Johnston,LAC,4,11,142,12.91,35.5,29t,3,7,18,63
Roschon JohnsonR. Johnson,CHI,4,4,32,8.00,8.0,11,0,1,5,21
Ty JohnsonT. Johnson,BUF,5,4,61,15.25,12.2,33,1,3,6,7
Tyler JohnsonT. Johnson,LA,5,10,119,11.90,23.8,63,0,3,15,81
Aaron JonesA. Jones,MIN,5,17,167,9.82,33.4,24,1,6,20,165
Charlie JonesC. Jones,CIN,5,1,5,5.00,1.0,5,0,0,1,0
Velus JonesV. Jones,CHI,1,1,8,8.00,8.0,8,0,0,1,13
Brevin JordanB. Jordan,HOU,2,2,7,3.50,3.5,4,0,1,3,3
Kyle JuszczykK. Juszczyk,SF,6,10,87,8.70,14.5,34,0,3,14,28
Alvin KamaraA. Kamara,NO,5,23,214,9.30,42.8,57t,1,7,28,186
Travis KelceT. Kelce,KC,5,24,228,9.50,45.6,38,0,10,31,91
Tom KennedyT. Kennedy,DET,2,0,0,0.00,0.0,0,0,0,1,0
Dalton KincaidD. Kincaid,BUF,5,15,166,11.07,33.2,28,1,7,24,116
Christian KirkC. Kirk,JAX,5,21,257,12.24,51.4,61,1,12,33,62
George KittleG. Kittle,SF,5,28,283,10.11,56.6,29,5,16,35,97
Cole KmetC. Kmet,CHI,5,21,219,10.43,43.8,26,1,12,24,73
Dawson KnoxD. Knox,BUF,5,3,30,10.00,6.0,23,0,1,5,20
Charlie KolarC. Kolar,BAL,5,5,98,19.60,19.6,55,1,3,6,61
Tucker KraftT. Kraft,GB,5,16,218,13.63,43.6,66t,3,8,22,180
Lucas KrullL. Krull,DEN,1,1,5,5.00,5.0,5,0,0,1,4
Cooper KuppC. Kupp,LA,2,18,147,8.17,73.5,24,1,7,27,65
CeeDee LambC. Lamb,DAL,5,25,378,15.12,75.6,65t,2,13,41,175
